,Unnamed: 0,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,coinMarketCapLink,regularMarketPrice,preMarketPrice,logo_url,trailingPegRatio,address2,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,quoteSourceName,averageDailyVolume3Month,regularMarketTime,regularMarketChange,exchangeDataDelayedBy,postMarketChange,postMarketPrice,exchangeName,preMarketChange,regularMarketSource,marketState
467,467,60654,Real Estate,434,"Ventas, an S&P 500 company, operates at the intersection of two powerful and dynamic industries  healthcare and real estate. As one of the world's foremost Real Estate Investment Trusts (REIT), we use the power of capital to unlock the value of real estate, partnering with leading care providers, developers, research and medical institutions, innovators and healthcare organizations whose success is buoyed by the demographic tailwind of an aging population. For more than twenty years, Ventas has followed a successful strategy that endures: combining a high-quality diversified portfolio of properties and capital sources to manage through cycles, working with industry leading partners, and a collaborative and experienced team focused on producing consistent growing cash flows and superior returns on a strong balance sheet, ultimately rewarding Ventas shareholders. As of September 30, 2020, Ventas owned or managed through unconsolidated joint ventures approximately 1,200 properties.",Chicago,877-483-6827,IL,United States,[],https://www.ventasreit.com,1,353 North Clark Street,REIT—Healthcare Facilities,0.39344,0.00402,0.44607,1049891968,0.105,0.14987999,1581080064,38,buy,1738766000,962121344,55.5,45.49,,0.385,0.01564,20,55.5,115.033,0.00218,80,127073000,12522381312,4018578944,0.318,USD,10.172,0.288,2.2,NYQ,"Ventas, Inc.","Ventas, Inc.",America/New_York,EST,TRUE,-18000000,EQUITY,VTR,finmb_398549,us_market,,7.028,,17.862,,,0.47,,399176000,,,,27.175,6205357,0.0155,,1640908800,0.95994,16142000,1.17,,,1.6739651,0.00465,1703980800,,1656547200,2.66,1663200000,398209843,1.200073,28241528832,2,,1439856000,8757:10000,,,,,4.518641,1665705600,-65.5,,96.78724,,0.0212,5220019,,,,44.92,45.03,50.8694,0.047707032,36,,45.73,,2138260,44.92,40.959,2.143,45.03,,2138260,,,1.8,1664496000,,,44.83,USD,38.880344,890526,,,,18158516224,,,2220130,44.83,46.59,1000,890526,64.02,,5.01,35.33,44.3,FALSE,0.0465,900,45.73,,45.49,44.68,https://logo.clearbit.com/ventasreit.com,,Suite 3300,,,,,b2590703-54d6-3892-bd98-c2800f8ad26c,,,,,,,,,,,
0,0,55144-1000,Industrials,95000,"3M Company operates as a diversified technology company worldwide. It operates through four segments: Safety and Industrial; Transportation and Electronics; Health Care; and Consumer. The Safety and Industrial segment offers industrial abrasives and finishing for metalworking applications; autobody repair solutions; closure systems for personal hygiene products, masking, and packaging materials; electrical products and materials for construction and maintenance, power distribution, and electrical original equipment manufacturers; structural adhesives and tapes; respiratory, hearing, eye, and fall protection solutions; and natural and color-coated mineral granules for shingles. The Transportation and Electronics segment provides ceramic solutions; attachment tapes, films, sound, and temperature management for transportation vehicles; premium large format graphic films for advertising and fleet signage; light management films and electronics assembly solutions; packaging and interconnection solutions; and reflective signage for highway, and vehicle safety. The Healthcare segment offers food safety indicator solutions; health care procedure coding and reimbursement software; skin, wound care, and infection prevention products and solutions; dentistry and orthodontia solutions; and filtration and purification systems. The Consumer segment provides consumer bandages, braces, supports and consumer respirators; cleaning products for the home; retail abrasives, paint accessories, car care DIY products, picture hanging, and consumer air quality solutions; and stationery products. It offers its products through e-commerce and traditional wholesalers, retailers, jobbers, distributors, and dealers. The company was founded in 1902 and is based in St. Paul, Minnesota.",Saint Paul,651 733 1110,MN,United States,[],https://www.3m.com,1,3M Center,Conglomerates,0.20048,0.18913999,0.44353,5673999872,-0.036,0.14645,6968999936,110,hold,16579000000,2674249984,125,129.04,1.763,1.561,0.06737,17,129.89,117.484,0.45931998,210,3588999936,16631000064,34761998336,6.493,USD,60.794,0.871,3.2,NYQ,3M Company,3M Company,America/New_York,EST,FALSE,-18000000,EQUITY,MMM,finmb_289194,us_market,,2.422,,12.082,-0.27073836,,10.46,,552742976,,,,25.473,14314641,0.025899999,,1640908800,0.68072,6575000064,11.46,1.49,-0.12348354,5.065756,0.00121,1703980800,,1664496000,4.14,1664496000,552145953,1.019586,84200742912,2,,1064880000,2:01,,1668643200,,1.691,2.051837,1667174400,31.35,,12.336519,,0.025899999,15435327,0,,,128,128.88,136.56496,0.046484374,0.51919997,,129.82,,2661280,128,119.1416,5.95,128.88,,2661280,,,5.96,1668643200,,,128.52,USD,11.260035,881460,,,,71325949952,,,8109096,128.52,128.83,900,881460,181.78,,3.29,107.07,129.09,FALSE,0.0463,800,129.82,,129.04,128.61,https://logo.clearbit.com/3m.com,2.3492,,,,,,,,,,,,,,,,,
457,457,55402,Financial Services,70000,"U.S. Bancorp, a financial services holding company, provides various financial services to individuals, businesses, institutional organizations, governmental entities and other financial institutions in the United States. It operates in Corporate and Commercial Banking, Consumer and Business Banking, Wealth Management and Investment Services, Payment Services, and Treasury and Corporate Support segments. The company offers depository services, including checking accounts, savings accounts, and time certificate contracts; lending services, such as traditional credit products; and credit card services, lease financing and import/export trade, asset-backed lending, agricultural finance, and other products. It also provides ancillary services comprising capital markets, treasury management, and receivable lock-box collection services to corporate and governmental entity customers; and a range of asset management and fiduciary services for individuals, estates, foundations, business corporations, and charitable organizations. In addition, the company offers investment and insurance products to its customers principally within its markets, as well as fund administration services to a range of mutual and other funds. Further, it provides corporate and purchasing card, and corporate trust services; and merchant processing services, as well as investment management, ATM processing, mortgage banking, insurance, and brokerage and leasing services. As of December 31, 2021, the company provided its products and services through a network of 2,230 banking offices principally operating in the Midwest and West regions of the United States, as well as through on-line services, over mobile devices, and other distribution channels; and operated a network of 4,059 ATMs. The company was founded in 1863 and is headquartered in Minneapolis, Minnesota.",Minneapolis,651 466 3000,MN,United States,[],https://www.usbank.com,1,800 Nicollet Mall,Banks—Regional,0,0.29393998,0,,-0.019,0.38042,,43,hold,23762000000,,52,44.26,-0.111,,0.01127,21,51.58,,0.12869,64,41651998720,57294000128,22361999360,28.03,USD,15.064,,2.6,NYQ,U.S. Bancorp,U.S. Bancorp,America/New_York,EST,TRUE,-18000000,EQUITY,USB,finmb_305304,us_market,,3.821,,,,,4.37,,1482800000,,,,30.534,11671477,0.007900001,,1640908800,0.77029,6230000128,3.789,,,1.4495316,0.00129,1703980800,,1664496000,1.1,1663200000,1483354920,0.98784,85445877760,2,,983232000,1265:1000,,,,-0.107,2.9348326,1665705600,1.95,,10.128146,,0.007900001,11184418,,,,44.11,44.25,48.42425,0.0380866,0.4439,,44.392,,8912790,44.11,42.4786,1.68,44.25,,8912790,,,1.92,1664409600,,,44.0575,USD,11.681182,2484143,,,,65628725248,,,9753360,44.0575,44.5,1000,2484143,63.57,,3.12,38.39,44.26,FALSE,0.045300003,800,44.392,,44.26,43.97,https://logo.clearbit.com/usbank.com,,,,,,,7aca5ec6-18f7-3173-a8dc-d7014cf9bdcf,,,,,,,,,,,
195,195,20852,Real Estate,310,"Federal Realty is a recognized leader in the ownership, operation and redevelopment of high-quality retail-based properties located primarily in major coastal markets from Washington, D.C. to Boston as well as San Francisco and Los Angeles. Founded in 1962, Federal Realty's mission is to deliver long-term, sustainable growth through investing in communities where retail demand exceeds supply. Its expertise includes creating urban, mixed-use neighborhoods like Santana Row in San Jose, California, Pike & Rose in North Bethesda, Maryland and Assembly Row in Somerville, Massachusetts. These unique and vibrant environments that combine shopping, dining, living and working provide a destination experience valued by their respective communities. Federal Realty's 106 properties include approximately 3,100 tenants, in 25 million square feet, and approximately 3,200 residential units. Federal Realty has increased its quarterly dividends to its shareholders for 54 consecutive years, the longest record in the REIT industry. Federal Realty is an S&P 500 index member and its shares are traded on the NYSE under the symbol FRT. For additional information about Federal Realty and its properties, visit www.federalrealty.com.",North Bethesda,301-998-8100,MD,United States,[],https://www.federalrealty.com,1,909 Rose Avenue,REIT—Retail,0.61462003,0.27313,0.68141,484664000,0.152,0.33625,631694976,96,buy,643333000,304833888,114.5,110.25,0.323,1.868,0.02789,18,114.75,135.274,0.098900005,140,180455008,4174195968,1027772992,2.23,USD,13.148,1.164,2.3,NYQ,Federal Realty Investment Trust,Federal Realty Investment Trust,America/New_York,EST,TRUE,-18000000,EQUITY,FRT,finmb_271305,us_market,,11.86,,19.297,,,1.69,,77789504,,,,30.03,2163736,0.026700001,,1640908800,0.9629,271452992,1.62,,,3.6713285,0.0087,1703980800,,1656547200,2.62,1663200000,80057839,1.143699,12189569024,2,,500083200,3:02,,,,0.335,8.34454,1665705600,-13.24,,65.23669,,0.0317,2277509,,,,109.53,109.83,107.4462,0.038528256,1.2299,,110.355,,466290,109.53,97.1316,4.22,109.83,,466290,,,4.32,1663718400,,,109.54,USD,68.05556,175835,,,,8576292864,,,677276,109.54,110.1,900,175835,140.51,,3.76,86.43,107,FALSE,0.045100003,1000,110.355,,110.25,110,https://logo.clearbit.com/federalrealty.com,,Suite 200,,,,,78719075-9cf7-3d6b-af71-6a59d4f27484,,,,,,,,,,,
113,113,10013,Financial Services,238000,"Citigroup Inc., a diversified financial services holding company, provides various financial products and services to consumers, corporations, governments, and institutions in North America, Latin America, Asia, Europe, the Middle East, and Africa. The company operates in two segments, Global Consumer Banking (GCB) and Institutional Clients Group (ICG). The GCB segment offers traditional banking services to retail customers through retail banking, Citi-branded cards, and Citi retail services. It also provides various banking, credit card, lending, and investment services through a network of local branches, offices, and electronic delivery systems. The ICG segment offers wholesale banking products and services, including fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative, equity and fixed income research, corporate lending, investment banking and advisory, private banking, cash management, trade finance, and securities services to corporate, institutional, public sector, and high-net-worth clients. As of December 31, 2020, it operated 2,303 branches primarily in the United States, Mexico, and Asia. Citigroup Inc. was founded in 1812 and is headquartered in New York, New York.",New York,212 559 1000,NY,United States,[],https://www.citigroup.com,1,388 Greenwich Street,Banks—Diversified,0,0.21641001,0,,-0.01,0.27331,,42,buy,74990000000,,53,48.29,-0.242,,0.00666,24,56.47,,0.0789,95,1.00708E+12,5.03865E+11,71645003776,519.918,USD,36.581,,2.5,NYQ,"Citigroup, Inc.",Citigroup Inc.,America/New_York,EST,TRUE,-18000000,EQUITY,C,finmb_391687,us_market,,-5.526,,,,,8.25,,1984269952,,,,88.18,34629530,0.0179,,1640908800,0.73466,14602000384,7.289,,,0.54762983,0.0021,1703980800,,1664496000,1.68,1663200000,1878018350,1.582903,-3.95879E+11,2,,1304899200,1:10,,,,-0.251,1.3374331,1665705600,-0.54,,5.8533335,,0.0179,34605086,,,,48.24,48.2,50.6022,0.042288557,0.2738,,48.53,,18215780,48.24,45.2858,2.04,48.2,,18215780,,,2.04,1667520000,,,48.13,USD,6.6250515,6656429,,,,95820398592,,,18339953,48.13,48.27,2200,6656429,69.11,,2.96,40.01,48.26,FALSE,0.045,1300,48.53,,48.29,48.28,https://logo.clearbit.com/citigroup.com,,,,,,,0d61f837-0cad-3d41-af80-b84d143e1257,,,,,,,,,,,
160,160,28202-1803,Utilities,27605,"Duke Energy Corporation, together with its subsidiaries, operates as an energy company in the United States. It operates through three segments: Electric Utilities and Infrastructure, Gas Utilities and Infrastructure, and Commercial Renewables. The Electric Utilities and Infrastructure segment generates, transmits, distributes, and sells electricity in the Carolinas, Florida, and the Midwest; and uses coal, hydroelectric, natural gas, oil, renewable generation, and nuclear fuel to generate electricity. It also engages in the wholesale of electricity to municipalities, electric cooperative utilities, and load-serving entities. This segment serves approximately 8.2 million customers in 6 states in the Southeast and Midwest regions of the United States covering a service territory of approximately 91,000 square miles; and owns approximately 50,259 megawatts (MW) of generation capacity. The Gas Utilities and Infrastructure segment distributes natural gas to residential, commercial, industrial, and power generation natural gas customers; and owns, operates, and invests in pipeline transmission and natural gas storage facilities. It has approximately 1.6 million customers, including 1.1 million customers in North Carolina, South Carolina, and Tennessee, as well as 550,000 customers in southwestern Ohio and northern Kentucky. The Commercial Renewables segment acquires, owns, develops, builds, and operates wind and solar renewable generation projects, including nonregulated renewable energy and energy storage services to utilities, electric cooperatives, municipalities, and corporate customers. It has 23 wind, 178 solar, and 2 battery storage facilities, as well as 71 fuel cell locations with a capacity of 3,554 MW across 22 states. The company was formerly known as Duke Energy Holding Corp. and changed its name to Duke Energy Corporation in April 2005. The company was founded in 1904 and is headquartered in Charlotte, North Carolina.",Charlotte,704 382 3853,NC,United States,[],https://www.duke-energy.com,1,526 South Church Street,Utilities—Regulated Electric,0.44448003,0.14726,0.47408,8451999744,0.161,0.22508,11816999936,94,buy,12206000000,-2697374976,105,99.62,0.192,0.699,0.022149999,17,104.82,138.101,0.07185,120,725000000,71238000640,26585999360,0.942,USD,34.55,0.281,2.5,NYQ,Duke Energy Corporation (Holdin,Duke Energy Corporation,America/New_York,EST,TRUE,-18000000,EQUITY,DUK,finmb_267850,us_market,,5.433,,12.223,,,5.45,,769342976,,,,59.821,7185818,0.0093,,1640908800,0.64475,3798000128,1.719,,,1.6653016,0.00101,1703980800,,1656547200,2.09,1663200000,768713675,0.411569,1.44437E+11,2,,1341273600,1:03,,,,0.186,2.8827937,1665705600,3.06,,18.2789,,0.0093,7722745,,,,98.54,99,104.7776,0.03876598,0.79760003,,99.99,,3475190,98.54,94.8744,3.82,99,,3475190,,,4.02,1668643200,,,98.9,USD,57.9523,1268737,,,,76641951744,,,3146360,98.9,99.46,800,1268737,116.33,,4.12,83.76,99.34,FALSE,0.0442,1000,99.99,,99.62,98.87,https://logo.clearbit.com/duke-energy.com,,,,,,,287ba1fd-2a9f-3c6f-b4a3-3d43e46d3ee9,,,,,,,,,,,
272,272,44114-1306,Financial Services,17477,"KeyCorp operates as the holding company for KeyBank National Association that provides various retail and commercial banking products and services in the United States. It operates in two segments, Consumer Bank and Commercial Bank. The company offers various deposits, investment products and services; and personal finance and financial wellness, student loan refinancing, mortgage and home equity, lending, credit card, treasury, business advisory, wealth management, asset management, investment, cash management, portfolio management, and trust and related services to individuals and small and medium-sized businesses. It also provides a suite of banking and capital market products, such as syndicated finance, debt and equity capital market products, commercial payments, equipment finance, commercial mortgage banking, derivatives, foreign exchange, financial advisory, and public finance, as well as commercial mortgage loans comprising consumer, energy, healthcare, industrial, public sector, real estate, and technology loans for middle market clients. In addition, the company offers community development financing, securities underwriting, brokerage, and investment banking services. As of December 31, 2021, it operated through a network of approximately 999 branches and 1,317 ATMs in 15 states, as well as additional offices, online and mobile banking capabilities, and a telephone banking call center. KeyCorp was founded in 1849 and is headquartered in Cleveland, Ohio.",Cleveland,216 689 3000,OH,United States,[],https://www.key.com,1,127 Public Square,Banks—Regional,0,0.30503,0,,-0.078,0.38129002,,16,hold,7683000000,,20,19.03,-0.153,,0.01137,20,20.57,,0.13922,38,1784999936,27057000448,7055000064,1.913,USD,7.637,,2.7,NYQ,KeyCorp,KeyCorp,America/New_York,EST,TRUE,-18000000,EQUITY,KEY,finmb_329376,us_market,,6.276,,,,,1.96,,931057984,,,,16.177,18034156,0.019299999,,1640908800,0.85947996,2038000000,1.768,,,1.1763616,0.00362,1703980800,,1664496000,1.47,1663200000,927200431,1.284819,44275675136,2,,889401600,2:01,,,,-0.16,2.5114152,1665705600,11.51,,9.709184,,0.022,16426796,,,,18.92,19.06,19.4463,0.03911205,0.35779998,,19.085,,11583880,18.92,17.4398,0.74,19.06,,11583880,,,0.78,1661731200,,,18.98,USD,10.763575,2631421,,,,17718034432,,,11583274,18.98,19,1300,2631421,27.17,,3.74,15.26,18.99,FALSE,0.044099998,3000,19.085,,19.03,19.05,https://logo.clearbit.com/key.com,,,,,,,3b5949e0-c26b-3776-ba47-52a276de9570,,,,,,,,,,,
435,435,21202,Financial Services,7771,"T. Rowe Price Group, Inc. is a publicly owned investment manager. The firm provides its services to individuals, institutional investors, retirement plans, financial intermediaries, and institutions. It launches and manages equity and fixed income mutual funds. The firm invests in the public equity and fixed income markets across the globe. It employs fundamental and quantitative analysis with a bottom-up approach. The firm utilizes in-house and external research to make its investments. It employs socially responsible investing with a focus on environmental, social, and governance issues. It makes investment in late-stage venture capital transactions and usually invests between $3 million and $5 million. The firm was previously known as T. Rowe Group, Inc. and T. Rowe Price Associates, Inc. T. Rowe Price Group, Inc. was founded in 1937 and is based in Baltimore, Maryland, with additional offices in Colorado Springs, Colorado; Owings Mills, Maryland; San Francisco, California; New York, New York; Philadelphia, Pennsylvania; Tampa, Florida; Toronto, Ontario; Hellerup, Denmark; Amsterdam, The Netherlands; Luxembourg, Grand Duchy of Luxembourg; Zurich, Switzerland; Dubai, United Arab Emirates; London, United Kingdom; Sydney, New South Wales; Hong Kong; Tokyo, Japan; Singapore; Frankfurt, Germany, Madrid, Spain, Milan, Italy, Stockholm, Sweden, Melbourne, Australia, and Amsterdam, Netherlands.",Baltimore,410 345 2000,MD,United States,[],https://www.troweprice.com,1,100 East Pratt Street,Asset Management,0.50233,0.33261,0.60139,3376999936,-0.216,0.45826998,3662899968,70,hold,4678700000,1781799936,98,125.05,-0.578,1.817,0.18123,11,92.18,3.153,0.24777001,105,2116000000,307000000,7291800064,9.376,USD,32.165,1.817,3.5,NMS,"T. Rowe Price Group, Inc.","T. Rowe Price Group, Inc.",America/New_York,EST,TRUE,-18000000,EQUITY,TROW,finmb_23217,us_market,,3.234,,6.438,,,12.85,,229198000,,,,35.286,18126001,0.080299996,,1640908800,0.78896004,2366500096,11.776,,,3.5438986,0.01938,1703980800,,1656547200,9.39,1663200000,220981447,1.301031,23580585984,2,,1151280000,2:01,,,,-0.584,3.9306085,1665705600,-0.73,,9.731518,,0.0817,17086908,,,,124.4,124,124.53555,0.030385852,0.4397,,125.33,,2349440,124.4,110.124,3.78,124,,2349440,,,4.8,1663113600,,,122.75,USD,10.619056,707856,,,,28661211136,,,1952525,122.75,126.33,800,707856,208.3,,2.58,93.53,120.1,FALSE,0.044,1000,125.33,,125.05,124,https://logo.clearbit.com/troweprice.com,,,,,,,4b1466dc-169a-3dd0-8cf2-ee11f3a48b26,,,,,,,,,,,
397,397,32202,Real Estate,432,"Regency Centers is the preeminent national owner, operator, and developer of shopping centers located in affluent and densely populated trade areas. Our portfolio includes thriving properties merchandised with highly productive grocers, restaurants, service providers, and best-in-class retailers that connect to their neighborhoods, communities, and customers. Operating as a fully integrated real estate company, Regency Centers is a qualified real estate investment trust (REIT) that is self-administered, self-managed, and an S&P 500 Index member.",Jacksonville,904-598-7000,FL,United States,[],https://www.regencycenters.com,1,One Independent Drive,REIT—Retail,0.65969,0.3815,0.74003,661857984,0.133,0.43427,839171008,54,buy,877185000,543811008,67,66.27,0.088,0.95,0.03205,17,66.79,63.682,0.080129996,81,122012000,3952179968,1272066048,0.713,USD,7.431,0.843,2.4,NMS,Regency Centers Corporation,Regency Centers Corporation,America/New_York,EST,TRUE,-18000000,EQUITY,REG,finmb_816889,us_market,,10.828,,16.414,,,1.14,,171212992,,,,35.368,2823343,0.0165,,1640908800,0.96115994,485288992,0.26,,,1.8737276,0.00848,1703980800,,1656547200,2.51,1663200000,169673510,1.104642,13774397440,2,,,,,,,0.097,8.919572,1665705600,45.85,,58.131577,,0.026099999,3163374,,,,65.76,66.43,63.62015,0.036192216,0.8759,,66.52,,695170,65.76,58.584,2.38,66.43,,695170,,,2.5,1663113600,,,65.88,USD,254.88461,330968,,,,11346284544,,,987957,65.88,68.07,800,330968,78.78,,3.97,51.97,66.03,FALSE,0.0434,800,66.52,,66.27,66.52,https://logo.clearbit.com/regencycenters.com,,Suite 114,,,,,f4cf3fe4-b672-3433-aeec-ec055742d449,,,,,,,,,,,
278,278,15222,Consumer Defensive,36000,"The Kraft Heinz Company, together with its subsidiaries, manufactures and markets food and beverage products in the United States, Canada, the United Kingdom, and internationally. Its products include condiments and sauces, cheese and dairy products, meals, meats, refreshment beverages, coffee, and other grocery products. The company also offers dressings, healthy snacks, and other categories; and spices and other seasonings. It sells its products through its own sales organizations, as well as through independent brokers, agents, and distributors to chain, wholesale, cooperative and independent grocery accounts, convenience stores, drug stores, value stores, bakeries, pharmacies, mass merchants, club stores, and foodservice distributors and institutions, including hotels, restaurants, hospitals, health care facilities, and government agencies; and online through various e-commerce platforms and retailers. The company was formerly known as H.J. Heinz Holding Corporation and changed its name to The Kraft Heinz Company in July 2015. The Kraft Heinz Company was founded in 1869 and is headquartered in Pittsburgh, Pennsylvania.",Pittsburgh,412 456 5700,PA,United States,[],https://www.kraftheinzcompany.com,1,One PPG Place,Packaged Foods,0.23478001,0.059180003,0.31851,4123000064,-0.009,0.19900998,6017999872,36,hold,8695000000,2859749888,41.75,38.9,,0.892,0.03379,20,42.18,43.114,0.0308,48,1518000000,21127000064,25632000000,1.239,USD,20.924,0.402,2.6,NMS,The Kraft Heinz Company,The Kraft Heinz Company,America/New_York,EST,TRUE,-18000000,EQUITY,KHC,finmb_278212,us_market,,2.545,,10.839,,,2.66,,1224039936,,,,41.119,16488402,0.0135,,1640390400,0.76017,1516999936,0.442,,,0.9460347,0.01685,1703462400,,1656115200,1.79,1663200000,796106932,0.730655,65229795328,2,,,,,,,,1.857645,1665705600,-10.83,,14.624061,,0.023599999,15350555,,,,38.9,39.08,38.12915,0.041131105,1.3008,,39.175,,6805350,38.9,36.0342,1.6,39.08,,6805350,,,1.6,1661385600,,,38.87,USD,88.009056,3485510,,,,47615156224,,,8075401,38.87,38.91,1100,3485510,44.87,,4.84,32.73,38.4,FALSE,0.0432,1000,39.175,,38.9,39.0985,https://logo.clearbit.com/kraftheinzcompany.com,,,,,,,aa94f7c2-b9a7-3327-84d9-2c52fccdd6df,,,,,,,,,,,
358,358,7302,Healthcare,9300,"Organon & Co., a health care company, develops and delivers health solutions through a portfolio of prescription therapies in the United States and internationally. Its women's health portfolio comprises contraception and fertility brands, such as Nexplanon/Implanon, a long-acting reversible contraceptive. The company's biosimilars portfolio consists of three immunology products, such as Brenzys, Renflexis, and Hadlima, as well as two oncology products, including Ontruzant and Aybintio. It also offers cardiovascular products, consisting of several cholesterol-modifying medicines under the Zetia, Ezetrol, Vytorin, Inegy, Rosuzet, and Zocor brands; Cozaar and Hyzaar for the treatment of hypertension; respiratory products for various treatments to control and prevent symptoms caused by asthma under the Singulair, Dulera, Zenhale, and Asmanex brand names; and Singulair, Nasonex, Clarinex, and Aerius for treating seasonal allergic rhinitis. In addition, the company provides dermatology products under the Diprosone and Elocon brand; bone health portfolio, including Fosamax brand name; non-opioid pain management products under the Arcoxia, Diprospan, and Celestone brand names; Proscar for the treatment of symptomatic benign prostatic hyperplasia; and Propecia for the treatment of male pattern hair loss. The company sells its products primarily to drug wholesalers and retailers, hospitals, and government agencies, as well as managed health care providers, such as health maintenance organizations, pharmacy benefit managers, and other institutions. Organon & Co. was incorporated in 2020 and is based in Jersey City, New Jersey.",Jersey City,551 430 6000,NJ,United States,[],https://www.organon.com,1,30 Hudson Street,Drug Manufacturers—General,0.32337,0.17419,0.63021,689000000,-0.006,0.28922,2055000064,25,hold,3929000000,308375008,35,25.11,-0.454,1.575,0.106750004,7,33.71,,,41,545000000,8892999680,6354999808,2.143,USD,25.051,0.853,2.7,NYQ,Organon & Co.,Organon & Co.,America/New_York,EST,FALSE,-18000000,EQUITY,OGN,finmb_653748561,us_market,,2.352,,7.274,,,5.82,,253550000,,,,-6.382,5784884,0.0227,,1640908800,0.77406996,1107000064,5.975,,,,0.00061,1703980800,,1656547200,2.73,1663200000,254078066,,14947859456,2,,,,,,,-0.452,1.0018318,1665705600,-1.75,,4.314433,,0.0257,5935576,,,,24.81,24.8,31.6243,0.011285773,0.2581,,25.11,,1768490,24.81,24.9422,0.28,24.8,,1768490,,,1.12,1660262400,,,24.751,USD,4.202511,619891,,,,6366640640,,,1950168,24.751,25.05,800,619891,39.475,,,22.88,24.52,FALSE,0.0432,1000,25.11,,25.11,25,https://logo.clearbit.com/organon.com,,Floor 33,,,,,1bf1386a-e8ec-3070-9c74-cd495b950fc0,,,,,,,,,,,
361,361,60045,Consumer Cyclical,15200,"Packaging Corporation of America manufactures and sells containerboard and corrugated packaging products in the United States. The company operates through Packaging and Paper segments. The Packaging segment offers various containerboard and corrugated packaging products, such as conventional shipping containers used to protect and transport manufactured goods; multi-color boxes and displays that help to merchandise the packaged product in retail locations; and honeycomb protective packaging products, as well as packaging for meat, fresh fruit and vegetables, processed food, beverages, and other industrial and consumer products. This segment sells its corrugated products through a direct sales and marketing organization, independent brokers, and distribution partners. The Paper segment manufactures and sells commodity and specialty papers, as well as communication papers, including cut-size office papers, and printing and converting papers. This segment sells white papers through its sales and marketing organization. Packaging Corporation of America was founded in 1867 and is headquartered in Lake Forest, Illinois.",Lake Forest,847 482 3000,IL,United States,[],https://www.packagingcorp.com,1,1 North Field Court,Packaging & Containers,0.23363,0.121120006,0.25252,,0.063,0.18180001,1995900032,99,hold,1880000000,,127,132.97,0.065,,,10,127.3,69.777,,172,749600000,2766299904,8542799872,8.054,USD,91.732,,2.8,NYQ,Packaging Corporation of Americ,Packaging Corporation of America,America/New_York,EST,TRUE,-18000000,EQUITY,PKG,finmb_98885,us_market,,1.535,,6.571,,,8.16,,94990800,,,,34.487,2301558,0.024600001,,1640908800,0.96159,1026800000,5.101,,,3.855656,0.01393,1703980800,,1664496000,2.77,1663200000,91495221,0.851879,13114842112,2,,,,,,,0.047,1.4785464,1665705600,-2.08,,16.295343,,0.0286,2327400,,,,133.35,133.04,141.19685,0.01934758,0.4098,,133.71,,774250,133.35,119.9608,2.58,133.04,,774250,,,5,1664496000,,,132.62,USD,26.067438,226082,,,,12630926336,,,777653,132.62,135,800,226082,168.5,,2.82,110.56,132.86,FALSE,0.043,2200,133.71,,132.97,134.13,https://logo.clearbit.com/packagingcorp.com,,,847 482 4545,,,,ff339d2d-42e7-33ae-bf90-e7b697e98cb8,,,,,,,,,,,
