,index,sector,longBusinessSummary,country,shortName,symbol,trailingEps,forwardPE,marketCap,dividendYield,trailingPE,position_weight,target_allocation,current_price,quantity,order_quantity,rounding_loss
10,460,Industrials,"Union Pacific Corporation, through its subsidiary, Union Pacific Railroad Company, operates in the railroad business in the United States. The company offers transportation services for grain and grain products, fertilizers, food and refrigerated products, and coal and renewables to grain processors, animal feeders, ethanol producers, and other agricultural users; petroleum, and liquid petroleum gases; and construction products, industrial chemicals, plastics, forest products, specialized products, metals and ores, soda ash, and sand, as well as finished automobiles, automotive parts, and merchandise in intermodal containers. As of December 31, 2021, its rail network included 32,452 route miles connecting Pacific Coast and Gulf Coast ports with the Midwest and Eastern United States gateways. The company was founded in 1862 and is headquartered in Omaha, Nebraska.",United States,Union Pacific Corporation,UNP,7.727,19.716267,137144745984.0,0.026600001,27.608385,0.02,2100.0,213.23,9.848520377057637,9.0,180.92999999999998
11,52,Communication Services,"AT&T Inc. provides telecommunications, media, and technology services worldwide. Its Communications segment offers wireless voice and data communications services; and sells handsets, wireless data cards, wireless computing devices, and carrying cases and hands-free devices through its own company-owned stores, agents, and third-party retail stores. It also provides data, voice, security, cloud solutions, outsourcing, and managed and professional services, as well as customer premises equipment for multinational corporations, small and mid-sized businesses, governmental, and wholesale customers. In addition, this segment offers broadband fiber and legacy telephony voice communication services to residential customers. It markets its communications services and products under the AT&T, Cricket, AT&T PREPAID, and AT&T Fiber brand names. The company's Latin America segment provides wireless services in Mexico; and video services in Latin America. This segment markets its services and products under the AT&T and Unefon brand names. The company was formerly known as SBC Communications Inc. and changed its name to AT&T Inc. in 2005. AT&T Inc. was incorporated in 1983 and is headquartered in Dallas, Texas.",United States,AT&T Inc.,T,2.42,7.439689,136268251136.0,0.0581,7.9008265,0.02,2100.0,19.55,107.41687979539641,107.0,8.149999999999848
12,291,Industrials,"Lockheed Martin Corporation, a security and aerospace company, engages in the research, design, development, manufacture, integration, and sustainment of technology systems, products, and services worldwide. It operates through four segments: Aeronautics, Missiles and Fire Control, Rotary and Mission Systems, and Space. The Aeronautics segment offers combat and air mobility aircraft, unmanned air vehicles, and related technologies. The Missiles and Fire Control segment provides air and missile defense systems; tactical missiles and air-to-ground precision strike weapon systems; logistics; fire control systems; mission operations support, readiness, engineering support, and integration services; manned and unmanned ground vehicles; and energy management solutions. The Rotary and Mission Systems segment offers military and commercial helicopters, surface ships, sea and land-based missile defense systems, radar systems, sea and air-based mission and combat systems, command and control mission solutions, cyber solutions, and simulation and training solutions. The Space segment offers satellites; space transportation systems; strategic, advanced strike, and defensive missile systems; and classified systems and services in support of national security systems. This segment also provides network-enabled situational awareness and integrates space and ground-based systems to help its customers gather, analyze, and securely distribute critical intelligence data. It serves primarily serves the U.S. government, as well as foreign military sales contracted through the U.S. government. Lockheed Martin Corporation was founded in 1912 and is headquartered in Bethesda, Maryland.",United States,Lockheed Martin Corporation,LMT,24.783,17.328316,133331492864.0,0.025899999,19.507727,0.02,2100.0,449.83,4.668430295889558,4.0,300.6799999999999
13,245,Technology,"International Business Machines Corporation provides integrated solutions and services worldwide. The company operates through four business segments: Software, Consulting, Infrastructure, and Financing. The Software segment offers hybrid cloud platform and software solutions, such as Red Hat, an enterprise open-source solutions; software for business automation, AIOps and management, integration, and application servers; data and artificial intelligence solutions; and security software and services for threat, data, and identity. This segment also provides transaction processing software that supports clients' mission-critical and on-premise workloads in banking, airlines, and retail industries. The Consulting segment offers business transformation services, including strategy, business process design and operations, data and analytics, and system integration services; technology consulting services; and application and cloud platform services. The Infrastructure segment provides on-premises and cloud-based server and storage solutions for its clients' mission-critical and regulated workloads; and support services and solutions for hybrid cloud infrastructure, as well as remanufacturing and remarketing services for used equipment. The Financing segment offers lease, installment payment, loan financing, and short-term working capital financing services. The company was formerly known as Computing-Tabulating-Recording Co. International Business Machines Corporation was incorporated in 1911 and is headquartered in Armonk, New York.",United States,International Business Machines,IBM,5.978,12.312862,132986994688.0,0.048899997,24.819336,0.02,2100.0,145.89,14.394406744807734,14.0,57.54000000000027
14,252,Technology,"Intel Corporation engages in the design, manufacture, and sale of computer products and technologies worldwide. The company operates through CCG, DCG, IOTG, Mobileye, NSG, PSG, and All Other segments. It offers platform products, such as central processing units and chipsets, and system-on-chip and multichip packages; and non-platform or adjacent products, including accelerators, boards and systems, connectivity products, graphics, and memory and storage products. The company also provides high-performance compute solutions for targeted verticals and embedded applications for retail, industrial, and healthcare markets; and solutions for assisted and autonomous driving comprising compute platforms, computer vision and machine learning-based sensing, mapping and localization, driving policy, and active sensors. In addition, it offers workload-optimized platforms and related products for cloud service providers, enterprise and government, and communications service providers. The company serves original equipment manufacturers, original design manufacturers, and cloud service providers. Intel Corporation has a strategic partnership with MILA to develop and apply advances in artificial intelligence methods for enhancing the search in the space of drugs. The company was incorporated in 1968 and is headquartered in Santa Clara, California.",United States,Intel Corporation,INTC,4.456,6.3921566,119325786112.0,0.0533,6.5843806,0.02,2100.0,30.11,69.7442710063102,69.0,22.410000000000117
15,221,Healthcare,"Gilead Sciences, Inc., a biopharmaceutical company, discovers, develops, and commercializes medicines in the areas of unmet medical need in the United States, Europe, and internationally. The company provides Biktarvy, Genvoya, Descovy, Odefsey, Truvada, Complera/ Eviplera, Stribild, and Atripla products for the treatment of HIV/AIDS; Veklury, an injection for intravenous use, for the treatment of coronavirus disease 2019; and Epclusa, Harvoni, Vosevi, Vemlidy, and Viread for the treatment of liver diseases. It also offers Yescarta, Tecartus, Trodelvy, and Zydelig products for the treatment of hematology, oncology, and cell therapy patients. In addition, the company provides Letairis, an oral formulation for the treatment of pulmonary arterial hypertension; Ranexa, an oral formulation for the treatment of chronic angina; and AmBisome, a liposomal formulation for the treatment of serious invasive fungal infections. Gilead Sciences, Inc. has collaboration agreements with Arcus Biosciences, Inc.; Pionyr Immunotherapeutics Inc.; Tizona Therapeutics, Inc.; Tango Therapeutics, Inc.; Jounce Therapeutics, Inc.; Galapagos NV; Janssen Sciences Ireland Unlimited Company; Japan Tobacco, Inc.; Gadeta B.V.; Bristol-Myers Squibb Company; Dragonfly Therapeutics, Inc.; and Merck & Co, Inc. The company was incorporated in 1987 and is headquartered in Foster City, California.",United States,"Gilead Sciences, Inc.",GILD,0.24,12.990965,108202827776.0,0.042,359.4167,0.02,2100.0,86.27,24.342181523125074,24.0,29.52000000000013
16,309,Healthcare,"Medtronic plc develops, manufactures, and sells device-based medical therapies to healthcare systems, physicians, clinicians, and patients worldwide. Its Cardiovascular Portfolio segment offers implantable cardiac pacemakers, cardioverter defibrillators, and cardiac resynchronization therapy devices; cardiac ablation products; insertable cardiac monitor systems; TYRX products; and remote monitoring and patient-centered software. It also provides aortic valves, surgical valve replacement and repair products, endovascular stent grafts and accessories, and transcatheter pulmonary valves; and percutaneous coronary intervention products, percutaneous angioplasty balloons, and products. The company's Medical Surgical Portfolio segment offers surgical stapling devices, vessel sealing instruments, wound closure, electrosurgery products, surgical artificial intelligence and robotic-assisted surgery products, hernia mechanical devices, mesh implants, gynecology and lung products, and various therapies to treat diseases, as well as products in the fields of minimally invasive gastrointestinal and hepatologic diagnostics and therapies, patient monitoring, airway management and ventilation therapies, and renal disease. Its Neuroscience Portfolio segment offers products for spinal surgeons; neurosurgeons; neurologists; pain management specialists; anesthesiologists; orthopedic surgeons; urologists; urogynecologists; interventional radiologists; ear, nose, and throat specialists; and systems that incorporate energy surgical instruments. It also provides image-guided surgery and intra-operative imaging systems and robotic guidance systems used in robot assisted spine procedures; and therapies for vasculature in and around the brain. The company's Diabetes Operating Unit segment offers insulin pumps and consumables, continuous glucose monitoring systems, smart insulin pen systems, and consumables and supplies. The company was founded in 1949 and is headquartered in Dublin, Ireland.",Ireland,Medtronic plc.,MDT,2.259,13.832169,106381590528.0,0.0319,35.024345,0.02,2100.0,80.59,26.057823551309095,26.0,4.659999999999984
17,113,Financial Services,"Citigroup Inc., a diversified financial services holding company, provides various financial products and services to consumers, corporations, governments, and institutions in North America, Latin America, Asia, Europe, the Middle East, and Africa. The company operates in two segments, Global Consumer Banking (GCB) and Institutional Clients Group (ICG). The GCB segment offers traditional banking services to retail customers through retail banking, Citi-branded cards, and Citi retail services. It also provides various banking, credit card, lending, and investment services through a network of local branches, offices, and electronic delivery systems. The ICG segment offers wholesale banking products and services, including fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative, equity and fixed income research, corporate lending, investment banking and advisory, private banking, cash management, trade finance, and securities services to corporate, institutional, public sector, and high-net-worth clients. As of December 31, 2020, it operated 2,303 branches primarily in the United States, Mexico, and Asia. Citigroup Inc. was founded in 1812 and is headquartered in New York, New York.",United States,"Citigroup, Inc.",C,7.289,5.8533335,95820398592.0,0.045,6.6250515,0.02,2100.0,49.92,42.06730769230769,42.0,3.3600000000000545
18,25,Consumer Defensive,"Altria Group, Inc., through its subsidiaries, manufactures and sells smokeable and oral tobacco products in the United States. The company provides cigarettes primarily under the Marlboro brand; cigars and pipe tobacco principally under the Black & Mild brand; and moist smokeless tobacco products under the Copenhagen, Skoal, Red Seal, and Husky brands, as well as provides on! oral nicotine pouches. It sells its tobacco products primarily to wholesalers, including distributors; and large retail organizations, such as chain stores. Altria Group, Inc. was founded in 1822 and is headquartered in Richmond, Virginia.",United States,"Altria Group, Inc.",MO,2.57,8.8594055,80181690368.0,0.0833,17.408562,0.02,2100.0,45.62,46.032441911442355,46.0,1.480000000000229
19,160,Utilities,"Duke Energy Corporation, together with its subsidiaries, operates as an energy company in the United States. It operates through three segments: Electric Utilities and Infrastructure, Gas Utilities and Infrastructure, and Commercial Renewables. The Electric Utilities and Infrastructure segment generates, transmits, distributes, and sells electricity in the Carolinas, Florida, and the Midwest; and uses coal, hydroelectric, natural gas, oil, renewable generation, and nuclear fuel to generate electricity. It also engages in the wholesale of electricity to municipalities, electric cooperative utilities, and load-serving entities. This segment serves approximately 8.2 million customers in 6 states in the Southeast and Midwest regions of the United States covering a service territory of approximately 91,000 square miles; and owns approximately 50,259 megawatts (MW) of generation capacity. The Gas Utilities and Infrastructure segment distributes natural gas to residential, commercial, industrial, and power generation natural gas customers; and owns, operates, and invests in pipeline transmission and natural gas storage facilities. It has approximately 1.6 million customers, including 1.1 million customers in North Carolina, South Carolina, and Tennessee, as well as 550,000 customers in southwestern Ohio and northern Kentucky. The Commercial Renewables segment acquires, owns, develops, builds, and operates wind and solar renewable generation projects, including nonregulated renewable energy and energy storage services to utilities, electric cooperatives, municipalities, and corporate customers. It has 23 wind, 178 solar, and 2 battery storage facilities, as well as 71 fuel cell locations with a capacity of 3,554 MW across 22 states. The company was formerly known as Duke Energy Holding Corp. and changed its name to Duke Energy Corporation in April 2005. The company was founded in 1904 and is headquartered in Charlotte, North Carolina.",United States,Duke Energy Corporation (Holdin,DUK,1.719,18.2789,76641951744.0,0.0442,57.9523,0.02,2100.0,104.98,20.003810249571345,20.0,0.39999999999975305
20,0,Industrials,"3M Company operates as a diversified technology company worldwide. It operates through four segments: Safety and Industrial; Transportation and Electronics; Health Care; and Consumer. The Safety and Industrial segment offers industrial abrasives and finishing for metalworking applications; autobody repair solutions; closure systems for personal hygiene products, masking, and packaging materials; electrical products and materials for construction and maintenance, power distribution, and electrical original equipment manufacturers; structural adhesives and tapes; respiratory, hearing, eye, and fall protection solutions; and natural and color-coated mineral granules for shingles. The Transportation and Electronics segment provides ceramic solutions; attachment tapes, films, sound, and temperature management for transportation vehicles; premium large format graphic films for advertising and fleet signage; light management films and electronics assembly solutions; packaging and interconnection solutions; and reflective signage for highway, and vehicle safety. The Healthcare segment offers food safety indicator solutions; health care procedure coding and reimbursement software; skin, wound care, and infection prevention products and solutions; dentistry and orthodontia solutions; and filtration and purification systems. The Consumer segment provides consumer bandages, braces, supports and consumer respirators; cleaning products for the home; retail abrasives, paint accessories, car care DIY products, picture hanging, and consumer air quality solutions; and stationery products. It offers its products through e-commerce and traditional wholesalers, retailers, jobbers, distributors, and dealers. The company was founded in 1902 and is based in St. Paul, Minnesota.",United States,3M Company,MMM,11.46,12.336519,71325949952.0,0.0463,11.260035,0.02,2100.0,129.51,16.214964095436645,16.0,27.839999999999947
21,423,Utilities,"The Southern Company, through its subsidiaries, engages in the generation, transmission, and distribution of electricity. It operates through Gas Distribution Operations, Gas Pipeline Investments, Wholesale Gas Services, and Gas Marketing Services segments. The company also develops, constructs, acquires, owns, and manages power generation assets, including renewable energy projects and sells electricity in the wholesale market; and distributes natural gas in Illinois, Georgia, Virginia, and Tennessee, as well as provides gas marketing services, wholesale gas services, and gas pipeline investments operations. In addition, it owns and/or operates 30 hydroelectric generating stations, 24 fossil fuel generating stations, three nuclear generating stations, 13 combined cycle/cogeneration stations, 45 solar facilities, 15 wind facilities, one fuel cell facility, and four battery storage facility; and constructs, operates, and maintains 76,289 miles of natural gas pipelines and 14 storage facilities with total capacity of 157 Bcf to provide natural gas to residential, commercial, and industrial customers. The company serves approximately 8.7 million electric and gas utility customers. Further, the company offers digital wireless communications and fiber optics services. The Southern Company was incorporated in 1945 and is headquartered in Atlanta, Georgia.",United States,Southern Company (The),SO,3.18,18.794945,70911221760.0,0.0414,21.040882,0.02,2100.0,70.32,29.863481228668945,29.0,60.720000000000226
22,457,Financial Services,"U.S. Bancorp, a financial services holding company, provides various financial services to individuals, businesses, institutional organizations, governmental entities and other financial institutions in the United States. It operates in Corporate and Commercial Banking, Consumer and Business Banking, Wealth Management and Investment Services, Payment Services, and Treasury and Corporate Support segments. The company offers depository services, including checking accounts, savings accounts, and time certificate contracts; lending services, such as traditional credit products; and credit card services, lease financing and import/export trade, asset-backed lending, agricultural finance, and other products. It also provides ancillary services comprising capital markets, treasury management, and receivable lock-box collection services to corporate and governmental entity customers; and a range of asset management and fiduciary services for individuals, estates, foundations, business corporations, and charitable organizations. In addition, the company offers investment and insurance products to its customers principally within its markets, as well as fund administration services to a range of mutual and other funds. Further, it provides corporate and purchasing card, and corporate trust services; and merchant processing services, as well as investment management, ATM processing, mortgage banking, insurance, and brokerage and leasing services. As of December 31, 2021, the company provided its products and services through a network of 2,230 banking offices principally operating in the Midwest and West regions of the United States, as well as through on-line services, over mobile devices, and other distribution channels; and operated a network of 4,059 ATMs. The company was founded in 1863 and is headquartered in Minneapolis, Minnesota.",United States,U.S. Bancorp,USB,3.789,10.128146,65628725248.0,0.045300003,11.681182,0.02,2100.0,47.33,44.36932178322417,44.0,17.4800000000001
